GazeX,GazeY,HeadX,HeadY,HeadZ,HeadYaw,HeadPitch,HeadRoll,rx,ry,rw,rh,state,time,FrameNr,Xview,Yview,docX,docY
698.2,274,2.2,1.7,67.5,0.9,-5.9,-4.4,236,208,223,223,0,1588501288078,712,0.45455729166666675,0.4728095423591875,483.19440104166677,341.36848958333337
712.2,187,2.9,0.6,62.9,1.4,-5.8,-4.5,242,190,238,238,0,1588501292176,713,0.46367187500000007,0.38941759724145897,492.8832031250001,281.15950520833337
712.2,161.8,2.9,0.7,62.4,1.9,-6.2,-5.3,242,190,238,238,0,1588501292273,714,0.46367187500000007,0.36526268900046177,492.8832031250001,263.7196614583334
739.2,151.2,2.6,0.8,61.9,2,-5.9,-5.7,242,190,238,238,0,1588501292362,715,0.48125000000000007,0.3551022910895661,511.5687500000001,256.3838541666667
739.2,177.6,2.4,0.8,61.9,1.9,-6.6,-5.6,242,190,238,238,0,1588501292456,716,0.48125000000000007,0.3804074330563251,511.5687500000001,274.6541666666667
740.8,239.4,2.3,0.9,62.2,1.9,-6.6,-5.5,242,190,238,238,0,1588501292547,717,0.48229166666666673,0.43964446993305634,512.6760416666667,317.4233072916667
742.2,315,2.3,0.9,63,1.9,-5.9,-5.4,242,190,238,238,0,1588501292668,718,0.483203125,0.5121091946560481,513.644921875,369.7428385416667
751.2,307.6,2.2,1,63.8,1.8,-6.7,-5.6,242,190,238,238,0,1588501292735,719,0.4890625,0.5050160866805171,519.8734375,364.6216145833334
756.6,310.4,2.3,1.1,64.3,1.7,-6.5,-5.1,235,199,231,231,0,1588501293039,720,0.4925781250000001,0.5076999653739613,523.6105468750001,366.55937500000005
766.4,323.2,2.4,1.1,64.3,1.9,-6.6,-4.3,235,199,231,231,0,1588501293151,721,0.4989583333333334,0.5199691251154203,530.3927083333334,375.4177083333334
760.8,350.4,2.5,1,63.9,2.3,-6,-5.6,235,199,231,231,0,1588501293221,722,0.4953125,0.5460410895660204,526.5171875,394.2416666666667
753.4,364.4,2.6,1.1,63.3,2.5,-5.9,-5.1,236,197,238,238,0,1588501293332,723,0.49049479166666665,0.559460483033241,521.3959635416667,403.93046875000005
753.8,352.2,2.6,1.1,62.8,2.2,-7,-4.4,236,197,238,238,0,1588501293442,724,0.49075520833333336,0.5477664401546631,521.6727864583333,395.48736979166677
758.6,350.6,2.7,1.1,62.9,2.3,-5.4,-5.4,236,197,238,238,0,1588501293554,725,0.49388020833333346,0.5462327951869808,524.9946614583334,394.38007812500007
775,337.8,2.7,1.1,63.1,2.6,-5.9,-5.1,236,197,238,238,0,1588501293662,726,0.5045572916666667,0.5339636354455217,536.3444010416667,385.52174479166666
776.4,329.4,2.9,1.2,63.1,2.3,-5.3,-5.4,236,197,238,238,0,1588501293772,727,0.50546875,0.5259119993651893,537.31328125,379.7084635416667
784.6,323.8,3.1,1.1,62.8,2.5,-5.2,-5.8,236,197,238,238,0,1588501293881,728,0.5108072916666667,0.5205442419783011,542.9881510416667,375.83294270833335
750.2,347.6,3.1,1.1,63.3,2.8,-5.8,-5.2,236,197,238,238,0,1588501293981,729,0.4884114583333334,0.5433572108725763,519.1813802083334,392.30390625000007
716.6,385.2,3.1,1.1,63.2,2.8,-5,-6.7,236,197,238,238,0,1588501294065,730,0.4665364583333334,0.5793978676131118,495.9282552083334,418.32526041666677
699.6,403.6,2.9,1,61.9,2.5,-4.8,-7,237,195,242,242,0,1588501294159,731,0.4554687500000001,0.597034784741459,484.16328125000007,431.0591145833334
671.4,418.8,2.7,0.9,61.5,2.4,-5.4,-6.3,237,195,242,242,0,1588501294252,732,0.437109375,0.6116044119344414,464.64726562500005,441.57838541666666
641.6,431.6,2.6,0.9,61.5,2.4,-5.2,-6.7,237,195,242,242,0,1588501294347,733,0.4177083333333334,0.6238735716759004,444.0239583333334,450.43671875000007
627,448.6,2.5,1,61.1,2.2,-4.5,-7.2,237,195,242,242,0,1588501294468,734,0.40820312500000006,0.6401685494575254,433.91992187500006,462.2016927083334
643,468.8,2.5,1,61,2.3,-3.8,-7.1,237,195,242,242,0,1588501294566,735,0.4186197916666667,0.6595308171745153,444.9928385416667,476.18125000000003
680.8,478.4,2.5,1,61.3,2.6,-3.8,-7.1,237,195,242,242,0,1588501294654,736,0.4432291666666667,0.6687326869806095,471.15260416666666,482.82500000000005
705.4,477.2,2.6,1,61.3,2.7,-3.9,-7,237,195,242,242,0,1588501294770,737,0.45924479166666665,0.6675824532548478,488.1772135416667,481.9945312500001
739.4,478.2,2.6,1,61.2,2.5,-3.4,-7.1,237,195,242,242,0,1588501294873,738,0.48138020833333334,0.6685409813596492,511.70716145833336,482.68658854166677
758,469.4,2.7,1,61.3,2.6,-4.3,-6.6,237,195,242,242,0,1588501294962,739,0.49348958333333337,0.6601059340373961,524.5794270833334,476.59648437500005
789.8,461.2,2.7,1,61.2,2.7,-3.5,-7,237,195,242,242,0,1588501295044,740,0.5141927083333333,0.6522460035780241,546.5868489583333,470.9216145833334
834,456,2.7,1,61.1,2.7,-3.9,-7,237,195,242,242,0,1588501295124,741,0.54296875,0.6472616574330564,577.17578125,467.32291666666674
876.2,446.8,2.6,1,61.1,2.7,-3.6,-7.5,237,195,242,242,0,1588501295249,742,0.5704427083333334,0.6384431988688828,606.3805989583334,460.95598958333335
887.8,449.4,2.6,1,61.2,2.8,-3.7,-7.1,237,195,242,242,0,1588501295338,743,0.5779947916666667,0.6409353719413666,614.4084635416667,462.75533854166673
891.6,444.2,2.6,1,61.3,2.8,-3.6,-6.8,237,195,242,242,0,1588501295420,744,0.5804687500000001,0.635951025796399,617.0382812500001,459.1566406250001
900.8,434.2,2.7,1,61.4,2.6,-3.5,-6.9,237,195,242,242,0,1588501295506,745,0.5864583333333333,0.6263657447483842,623.4052083333333,452.2360677083334
895.4,429,2.7,1,61.4,2.6,-3.6,-6.8,237,195,242,242,0,1588501295595,746,0.5829427083333334,0.6213813986034166,619.6680989583334,448.63736979166674
884.2,425.6,2.7,1,61.4,2.6,-3.9,-6.8,237,195,242,242,0,1588501295686,747,0.5756510416666668,0.6181224030470915,611.9170572916668,446.28437500000007
868.8,430.2,2.7,1,61.4,2.6,-3.4,-7,237,196,242,242,0,1588501295800,748,0.5656249999999999,0.6225316323291783,601.259375,449.46783854166677
845,431.8,2.7,1,61.2,2.6,-3.6,-7.1,237,196,242,242,0,1588501295899,749,0.5501302083333334,0.6240652772968606,584.7884114583334,450.57513020833335
823.6,401,2.8,1,61.1,2.5,-4.1,-7,237,196,242,242,0,1588501295983,750,0.5361979166666667,0.5945426116689752,569.9783854166667,429.25976562500006
811.2,364.8,2.8,1,61.2,2.6,-4.3,-6.9,237,195,243,243,0,1588501296078,751,0.5281250000000001,0.5598438942751616,561.396875,404.20729166666666
808.2,342.8,2.8,1,61.3,2.7,-4.3,-7,237,195,243,243,0,1588501296175,752,0.5261718750000001,0.5387562759695291,559.320703125,388.98203125000003
814.6,292.4,2.8,1,61.4,2.7,-4,-7.3,237,195,243,243,0,1588501296265,753,0.5303385416666667,0.4904464594875347,563.7498697916667,354.10234375000005
812.6,237.4,2.8,1,61.5,2.6,-3.9,-7.2,237,195,243,243,0,1588501296381,754,0.5290364583333335,0.4377274137234534,562.3657552083334,316.03919270833336
812,202.4,2.8,1,61.7,2.5,-4.6,-6.7,237,195,243,243,0,1588501296466,755,0.5286458333333334,0.40417893005540173,561.9505208333334,291.81718750000005
820,167.4,2.8,1,61.6,2.7,-4.4,-7.2,237,195,243,243,0,1588501296567,756,0.5338541666666667,0.37063044638735,567.4869791666667,267.5951822916667
821.8,138.4,2.8,1,61.6,2.7,-4.7,-6.9,237,195,243,243,0,1588501296653,757,0.5350260416666667,0.34283313134810717,568.7326822916667,247.52552083333336
826.6,121.2,2.7,1,61.3,2.7,-4.3,-7.2,237,195,243,243,0,1588501296749,758,0.5381510416666667,0.3263464479455217,572.0545572916667,235.62213541666668
822,105.4,2.8,1,61.9,2.5,-4.9,-6.6,237,195,243,243,-1,1588501296865,0,0.53515625,0.3112017038896584,568.87109375,224.68763020833336